izinkabi,oxen
iliphakethe,packet
ukubuhlungu,painful: be ~
ibhulukwe,pants
uphopho,papaw
uphopho,papaya
iliphepha,paper
iliphakethe,parcel
ukuxolela,pardon
umzali,parent
ukupaka,park
ukupaka,parking
ukuedlula,pass by
ipasi lokuhamba,passport
umfundisi,pastor
ikhanda,pate
umlenze,paw
uphopho,pawpaw
ukukhokha,pay
uphizi,pea
ilipentshisi,peach
ilintogomane,peanut
"isiPedi, umPedi",Pedi
isiPedi,Pedi language
ilipensele,pencil
abantu,people
upelepele,pepper
"ukuenza, ukungena",perform
ngabe,perhaps
inngozi,peril
iliphephandaba,periodical
umuntu,person
uphetroli,petrol
umuthi,pharmaceutical
ikhemisi,pharmacy
udokotela,physician
ukukhetha,pick out
ukukhetha,pick up
isiqhephu,piece
"eMalitzboko, eMungundlovu",Pietermaritzburg
ingulube,pig
iliphilisi,pill
uphayinaphu,pineapple
indawo,place
zasendaweni,place: in the ~
izindawo,places
injongo,plan
indiza,plane
"ilipuleti, ipuleti, isitsha",plate
ilipuleti,platter
ukudlala,play
uxolo,please
ngicela i-akhawunti,please bring me the bill
ilipulamu,plum
ukukhombisa,point out
iphoyisa,police
ipholisitheshi,police station
"iliphoyisa, iphoyisa",policeman
"-bi, -bolile, -mpofu",poor
inyama yengulube,pork
eBhayi,Port Elizabeth
"ilisango, isango",portal
ngabe,possibly
"iliposi, iposi, ukuposa",post
"iliposihhovisi, iposi",post office
isitembu,postage stamp
"iliposikhadi, iposikhadi",postcard
izambane,potato
inkukhu,poultry
ukuthela,pour
ukuthandaza,pray
umklomelo,premium
"isipho, ukuazisa",present
"ukuazisa, ukuethula",present with
ePitoli,Pretoria
-hle,pretty
phambili,previously
intengo,price
-bizayo,pricey
ililungelo,privilege
umklomelo,prize
inkinga,problem
"ilipulazi, ipulazi",property
uphuthini,pudding
ukuthenga,purchase
-hlanzekileyo,pure
ukukhumula,put off
ukuethula,put on the stage
ukuhlupheka,put up with
umbuzo,question
ngokushesha,quickly
ukuthula,quiet: be ~
"ilirediyo, irediyo",radio
ujantsi wesitimela,railroad
ujantsi wesitimela,railway
"ilipulazi, ipulazi",ranch
"ilirandi, irandi",rand
kancane,rather
"ilirediyo, irediyo, umsakazo",ray
ukufunda,read
iliqiniso,reality
ukuqonda,realize
isephulelo,rebate
ukukhumbula,recall
ilirisidi,receipt
ukuamukela,receive
umabhalane,receptionist
ukukhumbula,recollect
ukuphakamisa,recommend
ukurejista,record
ukuphola,recover
-bomvu,red
ifriji,refrigerator
ukuala,refuse
ukubukela,regard
ukurejista,register
kaningi,regularly
ukuala,reject
jabula,rejoice
ukutshela,relate
isihlobo,relative
ukuhlala,remain
ukupholisa,remedy
ukukhumbula,remember
-de,remote
ukuphinda,repeat
ukuphendula,reply
ukubika,report
ukuphumula,repose
ukudinga,require
ukubhuka,reservation
"ukubhalisa, ukubhalisa",reserve
ukuhlonipha,respect
ukuphendula,respond
ukuphumula,rest
"ilirestouranti, irestoranti",restaurant
ithilethe,restrooms
ukuletha,retrieve
ukubuya,return
ubhejane,rhinoceros: black ~
ilayisi,rice
"-lungileyo, ubunene",right
-lungileyo,righthand
irandi,rim
ukusukuma,rise
umfula,river
imifula,rivers
"indlela, umgwaqo",road
izigebengu,robber
ililokwe,robe
ikamelo,room
igumbi,room: the ~
intambo,rope
"indlela, umgwapo",route
uMgqibelo,sabbath
"isaka, ishikhwama",sack
"ilisaladi, isaladi",salad
usawoti,salt
ilisendiwishi,sandwich
"iNgisi, umNgisi",sassenach
uMgqibelo,Saturday
isositshi,sausage
uMsindisi,savior
ukuthi,say
ukuvalelisa,say goodbye
ukuthela,scatter
isikole,school
izikole,schools
isiKoshi,scot
isiKoshi,scotsman
ulwandle,sea
izikhathi,seasons
"ukubona, ukuhlangana",see
ngiyabona,see: I ~
ukuthengisa,sell
ukuthumela,send
umusho,sentence
uSepthemba,september
ilisayini,sergeant
-phakeme,serious
"isikhombisa, yisikhombisa",seven
ishumi nesikhombisa,seventeen
amashumi ayisikhombisa,seventy
ifomu,shape
u-,she
ukuthela,shed
ilishalofu,shelf
ukukhanya,shine
isikebhe,ship
ihembe,shirt
isicathulo,shoe
isitolo,shop
fushane,short
ukufanele,should
ukukhombisa,show
ukuvala,shut off
-gulayo,sick
ukusayina,sign
isayini,signature
ngoba,since
ukuhlabelela,sing
ukucula,singing
ubaba,sir
usisi,sister
ukuhlala,sit
isithupha,six
ishumi nesithupha,sixteen
amashumi ayisithupha,sixty
usayizi,size
ingubo,skirt
ilizulu,sky
ukubulala,slay
ukusika,slice
-ephuzayo,slow
ngokunensa,slowly
-ncane,small
inthuthu,smoke
ilantshi,snack
kanjalo,so
sizobonana,so long
-dwa,sole
-dwa,solitary
amanye,some
"into, noma yini",something
indodana,son
ingoma,song
masinya,soon
umhlobo,sort
"isiSuthu, umSuthu",Sotho
isiSuthu,sotho language
isobho,soup
eSoweto,soweto
isiSpeyini,Spanish
ukukhuluma,speak
ngisikhuluma,speak it
umkhonto,spear
izibuko,spectacles
inkosazana,spinster
isipunu,spoon
indawo,spot
"entwasahlobo, intwasahlobo",spring
entwasahlobo,springtime
isikwele,square
isitembu,stamp
izitembu,stamps
ukusukuma,stand
ukusukuma,stand up
isiteshi,station
ukuhlala,stay
ukusala,stay over
isiteki,steak
ukueba,steal
isisu,stomach
ukuvala,stop
isitolo,store
izitolo,stores
isiphepho,storm
qondile,straight
isitaladi,street
amandla,strength
ukungqongqoza,strike
intambo,string
isitshudeni,student
ukufunda,study
kanjalo,such
kanjani,such a
kanjani,such as
ukuhlupheka,suffer
ukuanele,suffice
ushukela,sugar
ukuphakamisa,suggest
ihlobo,summer
ukubiza,summon
ilanga,sun
iSonto,Sunday
ilisupamakethe,supermarket
ukuhlola,supervise
ukudiliva,supply
lilunga,supporter
"isiSwati, umSwati",Swazi
ukushanela,sweep
ngokushesha,swiftly
ukubhukuda,swim
ichibi lokubhukh,swimming pool
ukubhukuda,swin
ingulube,swine
ukuvala,switch off
ilitafula,table
"ukuamukela, ukuvalelisa",take
ukuamukela,take in
ukuvalelisa,take leave
ukuvalelisa,take leave from
ukukhumula,take off
ukuthenga,take over
ukukhuluma,talk
-de,tall
"ilitanki, itanki",tank
-phuzileyo,tardy
-mnandi,tasty
ilithekisi,taxi
"ilitiye, itiye",tea
ukufundisa,teach
uthisha,teacher
ilitelegilamu,telegram
ucingo,telephone
umabonwakude,television set
ukunti,tell
unobhange,teller
ithemperetsha,temperature
ishumi,ten
ukuazisa,tender
amashumi,tens
itende,tent
ukuqeda,terminate
ukuzama,test
ngiyabonga,thank you
ngiyabonga kakhulu,thank you very much
ngiyabonga,thanks
ngiyabonga,thanks: I give ~
"-ni, ukuthi",that
kanjalo,that way
kuthangi,the day before yesterday
khona,there
kukhona,there are
kukhona,there is
okwamanje,these days
"ba, ba-",they
izigebengu,thief
into,thing
ngicabanga,think: I ~
ukuomile,thirsty: be ~
ishumi nantathu,thirteen
amashumi amathathu,thirty
ngalendlele,this way
wena,thou
inkulungwane,thousand
"amathathu, kuthathu",three
"umphimbo, umphimbo",throat
uLwesine,Thursday
kanjalo,thus
ithikithi,ticket
umdayisi,ticket-seller
ihora,time
"ilithini, ilithini, ithini",tin
"umbhanselo, umbhanselo",tip
ugwayi,tobacco
"namhlanje, namuhla",today
ithoyilethe,toilet
ukuhlupheka,tolerate
utamatisi,tomato
